id_run,data,modelo,dataset,combinacao,fold,acuracia,precisao,recall,f1,auc,perda_treino
156,20260813,resnet50,CR,recplot+gasf,media,0.8787878787878789,0.8521303258145364,0.9444444444444444,0.8954747054747054,0.9421442495126706,
157,20260813,resnet50,CR,recplot+gadf,1,0.8484848484848485,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.9481481481481482,0.018515839964883134
158,20260813,resnet50,CR,recplot+gadf,2,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8962962962962964,0.06265019133154835
159,20260813,resnet50,CR,recplot+gadf,3,0.8181818181818182,0.7727272727272727,0.9444444444444444,0.85,0.9074074074074074,0.0716624520885359
160,20260813,resnet50,CR,recplot+gadf,4,0.9393939393939394,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9666666666666668,0.06050058218118336
161,20260813,resnet50,CR,recplot+gadf,5,0.7575757575757576,0.9230769230769231,0.631578947368421,0.75,0.9097744360902255,0.09083858055860869
162,20260813,resnet50,CR,recplot+gadf,media,0.8545454545454545,0.8834676847060748,0.8596491228070177,0.8641012441012441,0.9256585909217488,
163,20260813,resnet50,CR,mtf+gasf,1,0.7272727272727273,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7962962962962963,0.04731041671974318
164,20260813,resnet50,CR,mtf+gasf,2,0.6666666666666666,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.737037037037037,0.006693386173407946
165,20260813,resnet50,CR,mtf+gasf,3,0.5454545454545454,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.6333333333333333,0.15893458890994744
166,20260813,resnet50,CR,mtf+gasf,4,0.7272727272727273,0.68,0.9444444444444444,0.7906976744186046,0.8185185185185185,0.04902311792830005
